"E","E0","tau","tp","nn","nn0","n_lib","n_pred","rmse","te","ete","pval","n_surr","effect_var","cause_var","cond_var","fdr"
2,1,1,-2,5,4,90,90,0.959257726579915,-0.249411673867564,0,1,2000,"mean_height_diff","PRO_Taxa00014","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
2,1,1,-1,5,4,99,99,0.938175154687293,0.127020620844348,0.0713284029060401,0.1765,2000,"mean_height_diff","PRO_Taxa00014","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.788714022140221
2,1,1,0,5,4,94,94,0.554693100533501,-0.0309929987977285,0,1,2000,"mean_height_diff","PRO_Taxa00014","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
2,1,1,-2,5,4,90,90,0.59026236286211,-0.0451422405112838,0,1,2000,"mean_height_diff","PRO_Taxa00015","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
2,1,1,-1,5,4,99,99,0.867806435465055,-0.0496651368871343,0,1,2000,"mean_height_diff","PRO_Taxa00015","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
2,1,1,0,5,4,94,94,0.835576747865613,-0.0123429927737483,0,1,2000,"mean_height_diff","PRO_Taxa00015","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
1,0,1,-2,4,3,90,90,0.631254299196173,0.348720378250913,0.324139589359396,5e-04,2000,"mean_height_diff","PRO_Taxa00017","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.07266
1,0,1,-1,4,3,99,99,0.687036632818305,0.308259088794207,0.293745208706269,0,2000,"mean_height_diff","PRO_Taxa00017","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0
1,0,1,0,4,3,103,103,0.804549099795545,0.126911934960006,0.11516236767343,0.0225,2000,"mean_height_diff","PRO_Taxa00017","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.392992788461538
3,2,1,-2,6,5,90,90,0.523000826719334,-0.017413564124525,0,1,2000,"mean_height_diff","PRO_Taxa00018","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
3,2,1,-1,6,5,90,90,0.859508088051383,-0.0769035083138447,0,1,2000,"mean_height_diff","PRO_Taxa00018","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",1
3,2,1,0,6,5,85,85,0.660353934116043,0.0701668813403397,0.0591561821118867,0.0475,2000,"mean_height_diff","PRO_Taxa00018","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0.529348159509202
1,0,1,-2,4,3,90,90,0.205696523119898,0.622599712370596,0.58168219555692,0,2000,"mean_height_diff","PRO_Taxa00019","clim_cum_7days_temp, clim_cum_7days_sunlihg_hours",0
