"effect_var","cause_var","int_est","int_tval","int_pval","nofert_est","nofert_tval","nofert_pval"
"smapc","ITS_Taxa00138_tp0",0.272320165705128,5.94353440605463,5.6745379322341e-07,0.0549531387759938,0.839392457477463,0.428980869814694
"smapc","PRO_Taxa00019_tp-2",0.13723322007779,7.21693085368226,9.37174028546345e-09,-0.0183712601490542,-0.676144965008489,0.520654842654714
"smapc","PRO_Taxa00332_tp-2",0.126744202541545,7.38265901853433,5.5288893069453e-09,0.000408988237299254,0.0166725913447391,0.987163069419261
"smapc","ITS_Taxa00007_tp-2",0.0733248322762923,17.9203571720754,1.02356347754878e-20,0.00223615872961457,0.382477411739593,0.7134553011607
"smapc","PRO_Taxa00168_tp0",0.0565369175539181,7.96919797325805,8.70330582775396e-10,0.00786008062470483,0.775384420803478,0.46349719438728
"smapc","PRO_Taxa00186_tp-2",0.104054584665256,2.39204008704985,0.021544536771466,-0.129703257503061,-2.08672729992772,0.0753331660994484
"smapc","PRO_Taxa00037_tp-2",0.0307373687181227,7.51695144806776,3.61096363584043e-09,0.0160734917957107,2.75101445235778,0.0284623033066923
"smapc","PRO_Taxa00024_tp-2",0.0469105058073531,9.1153658876972,2.60276763737344e-11,-0.0365025749673592,-4.96403771447569,0.00163013122463959
"smapc","PRO_Taxa00040_tp-1",0.0247108153432474,3.98889377742189,0.000274954026115666,0.0108778777027702,1.22890171035902,0.258814056532055
"smapc","PRO_Taxa00096_tp0",0.0332911441848823,6.89132634330263,2.6578943313814e-08,0.000652679021709717,0.0945543099814372,0.92731854497173
"smapc","COI_Taxa00221_tp0",0.0269807341939289,6.96085004805973,2.12630813533628e-08,-0.000656973451121724,-0.118621637589295,0.908907432459174
"smapc","grss_poa_1_tp-1",0.0313731146849545,5.86257704328975,7.37467114008208e-07,-0.0278929446583522,-3.64781556320359,0.00820164185084524
"smapc","EUK_Taxa00213_tp0",0.0119541007253258,2.9195625283974,0.00573222326919076,-0.0038144498737055,-0.651989141677203,0.535221796134912
"smapc","PRO_Taxa00046_tp-2",-0.0104366250223744,-1.42477969612156,0.161976977035754,0.0154236010745071,1.47360471432911,0.1840790660867
"smapc","EUK_Taxa00443_tp-2",0.0354101219268436,2.56455935750281,0.0141896110413005,-0.0346379337246803,-1.75567809643142,0.122573175978315
"smapc","PRO_Taxa00017_tp-1",-0.0102768850551924,-2.65490639090595,0.0113321984891009,-0.00158025212520751,-0.285707524116778,0.783371720156349
"raw_value","ITS_Taxa00138_tp0",-0.146354150171165,-12.9565561097798,6.72107323210704e-16,-0.0214058702449005,-1.32624880929101,0.226391144249984
"raw_value","PRO_Taxa00019_tp-2",-0.0289830187679184,-0.533720576623405,0.596488548316434,-0.348664106642473,-4.49350418385813,0.00282020296868139
"raw_value","PRO_Taxa00332_tp-2",-0.0863985025148255,-2.39564130622014,0.0213610141800907,-0.325778574595425,-6.32187169002029,0.000395756346175807
"raw_value","ITS_Taxa00007_tp-2",0.500771500923421,2.50109543361322,0.0165761220959011,-0.835463690636439,-2.92028890950712,0.0223308312363523
"raw_value","PRO_Taxa00168_tp0",0.791870631622658,4.94108987671547,1.42826643781475e-05,-1.291947877918,-5.64184422552341,0.000781081565716739
"raw_value","PRO_Taxa00186_tp-2",-0.0587698725293009,-1.69753645864252,0.0973638243172588,-0.213866180044493,-4.32328688099021,0.00346620847158598
"raw_value","PRO_Taxa00037_tp-2",0.912843859814983,3.80868873124859,0.000470882451319639,-1.34299880667049,-3.92159003065593,0.00573730674955455
"raw_value","PRO_Taxa00024_tp-2",0.645886505702784,3.15733536530497,0.00302512395503985,-0.951427875886948,-3.25497723484038,0.0139609202006241
"raw_value","PRO_Taxa00040_tp-1",0.623246196025852,2.79819322235847,0.00786763576401087,-0.976340283864672,-3.06779865943181,0.0181235179479246
"raw_value","PRO_Taxa00096_tp0",1.38539610294764,6.68860589079206,5.1023581514274e-08,-1.85508733141952,-6.26806635999401,0.000416805257778971
"raw_value","COI_Taxa00221_tp0",0.905260446528457,4.15428580045761,0.00016659374306656,-1.31719545325274,-4.23039216956738,0.00388624161240857
"raw_value","grss_poa_1_tp-1",0.494837228932824,2.07184793303522,0.0447702892251924,-0.708082915529717,-2.07485239538833,0.0766655730754529
"raw_value","EUK_Taxa00213_tp0",1.2081416836517,5.03043910163359,1.07449122692868e-05,-1.57369354780539,-4.58580699103952,0.00252629769115533
"raw_value","PRO_Taxa00046_tp-2",0.548534769396196,2.12090730838604,0.0401783000389788,-0.668241215558848,-1.80824955477011,0.113505384674776
"raw_value","EUK_Taxa00443_tp-2",0.16905414844749,1.37463522889936,0.176897020713126,-0.504510180886819,-2.79523222282161,0.0267066478187649
"raw_value","PRO_Taxa00017_tp-1",1.01546100790315,5.54960753198218,2.02835790723566e-06,-1.56689032338172,-5.99301270444842,0.000546051524839566
"overall_effect","ITS_Taxa00138_tp0",-0.0275872538184253,-2.75429216835166,0.00880752807259496,-0.0273161224229607,-1.90865822303983,0.0979507166706731
"overall_effect","PRO_Taxa00019_tp-2",-0.0165616613480613,-1.99917760194425,0.0524148323779528,-0.0297854327520128,-2.51628003987084,0.0400276360636518
"overall_effect","PRO_Taxa00332_tp-2",-0.00674484580504455,-0.91740865698998,0.36442718236484,-0.0485281575612066,-4.61947043695548,0.00242766025656155
"overall_effect","ITS_Taxa00007_tp-2",0.0321619209632701,2.27438018754043,0.0283801549933154,-0.0574516075229395,-2.84335344880074,0.0249245707268249
