"variable","int_est","int_t-val","int_p-val","no-fert_est","no-fert_t-val","no-fert_p-val","date_edf_Conv","date_df_Conv","date_f-val_Conv","date_p-val_Conv","date_edf_NonFert","date_df_NonFert","date_f-val_NonFert","date_p-val_NonFert"
"Height","3.97257978375051","566.265962622957","0","-0.225337167500426","-22.7125377709274","4.74913427374173e-74","8.61059018336997","8.61059018336997","2334.65458479691","0","7.76006254433593","7.76006254433593","1915.41501978943","0"
"SPAD","3.55280313670895","590.755349967798","0","-0.16236829911567","-19.1135253752821","2.61409217578972e-58","8.48929913708144","8.48929913708144","199.759378682097","0","8.90158298067485","8.90158298067485","275.687855625638","0"
"n_stems","2.72682290695765","42.5110572502356","6.0827454894999e-145","-0.522805794447476","-5.76328858945298","1.73178068101937e-08","7.85003893800762","7.85003893800762","359.768027564075","0","7.80334259121602","7.80334259121602","289.300233691189","0"
"Height_diff","7.9466666666667","44.0467406282331","1.73051155999971e-149","-2.32102564102566","-9.09690629303831","5.74391894393444e-18","8.77492471252389","8.77492471252389","58.4628612470049","0","8.00913400626451","8.00913400626451","25.5291575958412","0"
"SPAD_diff","1.13436433878397","5.62298768189488","3.7025814349189e-08","-0.349281606136862","-1.22583846486423","0.221038739251325","8.24219408161018","8.24219408161018","50.5455090515134","0","8.57834263421918","8.57834263421918","72.9965304722519","0"
"n_stems_diff","1.67222222222229","13.2776693653298","8.7992384729948e-33","-0.783333333333371","-4.39804297862939","1.45725927395529e-05","7.38676356131627","7.38676356131627","50.2204054514924","0","5.73879615751718","5.73879615751718","21.5508698520409","0"
"Z_3_Hexenal","2.30831064496288","25.8602610260858","5.7144565044778e-48","0.545090549855302","4.47350820316929","1.91776129673841e-05","8.36297300957727","8.36297300957727","18.994408683879","0","7.0939414654866","7.0939414654866","24.270707209829","0"
"E_2_Hexenal","4.27219194763231","39.3466539678285","2.31730032812526e-69","0.42045586514948","2.73818297625633","0.00714294042689423","7.70975413619859","7.70975413619859","7.86449193674308","0","3.15422257767674","3.15422257767674","5.65858454640131","0.00086260270446703"
"Z_3_Hexen_1_ol","0.972354647840178","9.0585323040961","2.11698714009306e-15","0.208436276834326","1.37306612308977","0.172170412740468","1.00000003308452","1.00000003308452","0.0451969545925411","0.831985897107515","1.00000001273707","1.00000001273707","4.19462846201292","0.0426296412089578"
"X2_4_Heptadienal","0.79084858735455","8.66442932186395","2.55817305699349e-14","-0.0252984150410753","-0.195985948740366","0.844953335486723","6.05723433024319","6.05723433024319","10.3682822811253","0","2.18596168986323","2.18596168986323","26.1511580344477","0"
"linalool","-0.885642975293203","-2.58448814004853","0.0109291834446296","-0.818296674691559","-1.70833527377027","0.0901154311641447","1.00000000084787","1.00000000084787","0.0543926766177378","0.815979533444293","1.91294886401638","1.91294886401638","1.8972352808303","0.147210568859467"
"b_caryophyllene","-1.94866713016083","-26.5263439085208","1.38602328406681e-52","-0.175506966842645","-1.68934791107447","0.0936984067025177","3.64217056387473","3.64217056387473","10.6563104045142","7.67919488553481e-07","1.95287295893268","1.95287295893268","21.3472488900278","2.48216318166072e-07"
"MeSA","-1.39293252841823","-9.42056799733526","4.60700991591968e-16","0.58490033070118","2.79713789727649","0.00601937840548957","6.87467467820132","6.87467467820132","5.25950195500264","9.84029772208017e-05","2.75905290494279","2.75905290494279","11.3344397977998","3.60395779658296e-06"
"diterpenoids_ug_g_FW","-0.661967270882415","-2.12547410298256","0.0355300896350067","0.573769409996384","1.30269184079551","0.195093399857402","2.96297787044998","2.96297787044998","6.12105379649258","0.00157289421232931","1.00000005312513","1.00000005312513","0.00281494486850633","0.957773847721208"
"cyper_all","-1.72126580370777","-1.30956818437223","0.192864721995389","5.07447161260786","2.72995824323037","0.007296658448147","6.21593514313437","6.21593514313437","7.85289651200964","8.79440133327858e-07","2.78620200940295","2.78620200940295","34.4220366341939","0"
"poa_all","2.59564360166465","10.2160230464096","7.37542362006322e-18","-0.171962723373969","-0.478581734923811","0.633138000621591","8.3638240354658","8.3638240354658","16.2003686041699","0","3.76107267920749","3.76107267920749","68.8470236617803","0"
"others_all","1.98474074419627","1.3397209478966","0.182895231419293","-5.12438975700586","-2.44589449375388","0.0159162597362372","7.80652297451887","7.80652297451887","14.9642242607816","0","1.48791099215817","1.48791099215817","3.4007810026245","0.0275925048782472"
"cicadellidae_spp","1.85356858964841","15.3773023558554","1.06805042330749e-29","-0.0311604571197732","-0.182793317407902","0.855281242507643","6.65385516240395","6.65385516240395","10.1324730864918","0","6.05436418775667","6.05436418775667","11.8837567211902","0"
"thysanoptera_spp","2.21050351561524","21.135152797657","3.21560748339584e-41","0.142646818577636","0.964409043631319","0.336884299745365","7.60902818555873","7.60902818555873","14.5463739023292","0","6.50645325524079","6.50645325524079","15.1036510698947","0"
"other_planthopper","-2.74496337734439","-11.7315480060999","3.04322981817875e-21","1.3193343765965","3.98711395441388","0.000119263261489268","7.44754521544005","7.44754521544005","32.9325392803458","0","8.06474051387871","8.06474051387871","24.3668192514516","0"
"total_eDNA_abundance","15.5657375621978","168.951308775028","3.20644577075769e-130","-1.60439176890539","-11.5866537610584","1.6087665482316e-20","1.00000004064902","1.00000004064902","12.2316694407875","0.000690383607283462","8.50273834163368","8.50273834163368","19.6688198351218","0"
"eDNA_n_asv","6.57726108611182","327.535637683184","4.20286398415959e-170","-0.347802221351152","-12.6081040443022","2.73786449008726e-23","0.999999512098423","0.999999512098423","4.37891197531254","0.0386247789754366","1.00000000441584","1.00000000441584","7.36058547747962","0.0077105177614194"
