"query","superkingdom","kingdom","subkingdom","phylum","subphylum","class","subclass","superorder","order","suborder","family","subfamily","tribe","subtribe","genus","species"
"OTU00612","","","","","","","","","","","","","","","",""
"OTU00613","Eukaryota","Fungi","Dikarya","Basidiomycota","Pucciniomycotina","Microbotryomycetes","","","Sporidiobolales","","","","","","",""
"OTU00614","","","","","","","","","","","","","","","",""
"OTU00615","","","","","","","","","","","","","","","",""
"OTU00616","","","","","","","","","","","","","","","",""
"OTU00617","","","","","","","","","","","","","","","",""
"OTU00618","","","","","","","","","","","","","","","",""
"OTU00619","Eukaryota","Fungi","","","","","","","","","","","","","","fungal sp."
"OTU00620","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","Polyporales","","Steccherinaceae","","","","Antrodiella",""
"OTU00621","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Rhizophydiales","","","","","","",""
"OTU00622","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00623","","","","","","","","","","","","","","","",""
"OTU00624","","","","","","","","","","","","","","","",""
"OTU00625","","","","","","","","","","","","","","","",""
"OTU00626","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Rhizophydiales","","","","","","",""
"OTU00627","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","Hymenochaetales","","Hirschioporaceae","","","","Pallidohirschioporus","Pallidohirschioporus biformis"
"OTU00628","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","Polyporales","","","","","","",""
"OTU00629","","","","","","","","","","","","","","","",""
"OTU00630","","","","","","","","","","","","","","","",""
"OTU00631","","","","","","","","","","","","","","","",""
"OTU00632","","","","","","","","","","","","","","","",""
"OTU00633","","","","","","","","","","","","","","","",""
"OTU00634","","","","","","","","","","","","","","","",""
"OTU00635","","","","","","","","","","","","","","","",""
"OTU00636","","","","","","","","","","","","","","","",""
"OTU00637","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Tremellomycetes","","","Cystofilobasidiales","","Cystofilobasidiaceae","","","","Cystofilobasidium","Cystofilobasidium macerans"
"OTU00638","","","","","","","","","","","","","","","",""
"OTU00639","","","","","","","","","","","","","","","",""
"OTU00640","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00641","","","","","","","","","","","","","","","",""
"OTU00642","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00643","","","","","","","","","","","","","","","",""
"OTU00644","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00645","","","","","","","","","","","","","","","",""
"OTU00646","","","","","","","","","","","","","","","",""
"OTU00647","","","","","","","","","","","","","","","",""
"OTU00648","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","","","","","","","",""
"OTU00649","","","","","","","","","","","","","","","",""
"OTU00650","","","","","","","","","","","","","","","",""
"OTU00651","","","","","","","","","","","","","","","",""
"OTU00652","","","","","","","","","","","","","","","",""
"OTU00653","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00654","","","","","","","","","","","","","","","",""
"OTU00655","","","","","","","","","","","","","","","",""
"OTU00656","Eukaryota","Fungi","","","","","","","","","","","","","","fungal sp."
"OTU00657","","","","","","","","","","","","","","","",""
"OTU00658","","","","","","","","","","","","","","","",""
"OTU00659","","","","","","","","","","","","","","","",""
"OTU00660","","","","","","","","","","","","","","","",""
"OTU00661","Eukaryota","","","Oomycota","","","","","Lagenidiales","","Lagenidiaceae","","","","Lagenidium","Lagenidium giganteum"
"OTU00662","","","","","","","","","","","","","","","",""
"OTU00663","","","","","","","","","","","","","","","",""
"OTU00664","","","","","","","","","","","","","","","",""
"OTU00665","","","","","","","","","","","","","","","",""
"OTU00666","","","","","","","","","","","","","","","",""
"OTU00667","","","","","","","","","","","","","","","",""
"OTU00668","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Zygophlyctidales","","Zygophlyctidaceae","","","","Zygophlyctis","Zygophlyctis sp."
"OTU00669","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00670","","","","","","","","","","","","","","","",""
"OTU00671","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00672","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00673","","","","","","","","","","","","","","","",""
"OTU00674","","","","","","","","","","","","","","","",""
"OTU00675","","","","","","","","","","","","","","","",""
"OTU00676","","","","","","","","","","","","","","","",""
"OTU00677","","","","","","","","","","","","","","","",""
"OTU00678","","","","","","","","","","","","","","","",""
"OTU00679","","","","","","","","","","","","","","","",""
"OTU00680","","","","","","","","","","","","","","","",""
"OTU00681","Eukaryota","","","Oomycota","","","","","Pythiales","","Pythiaceae","","","","Pythium",""
"OTU00682","","","","","","","","","","","","","","","",""
"OTU00683","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","","","","","","","","","","",""
"OTU00684","Eukaryota","Fungi","Dikarya","Basidiomycota","Ustilaginomycotina","Ustilaginomycetes","","","Ustilaginales","","Ustilaginaceae","","","","Dirkmeia",""
"OTU00685","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Rhizophydiales","","Alphamycetaceae","","","","Betamyces",""
"OTU00686","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Zygophlyctidales","","Zygophlyctidaceae","","","","Zygophlyctis","Zygophlyctis sp."
"OTU00687","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","Polyporales","","Meruliaceae","","","","",""
"OTU00688","","","","","","","","","","","","","","","",""
"OTU00689","","","","","","","","","","","","","","","",""
"OTU00690","","","","","","","","","","","","","","","",""
"OTU00691","Eukaryota","","","Oomycota","","","","","","","","","","","",""
"OTU00692","","","","","","","","","","","","","","","",""
"OTU00693","","","","","","","","","","","","","","","",""
"OTU00694","","","","","","","","","","","","","","","",""
"OTU00695","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","Hymenochaetales","","Hymenochaetaceae","","","","Fuscoporia","Fuscoporia gilva"
"OTU00696","","","","","","","","","","","","","","","",""
"OTU00697","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Sordariomycetes","","","","","","","","","",""
"OTU00698","","","","","","","","","","","","","","","",""
"OTU00699","","","","","","","","","","","","","","","",""
"OTU00700","Eukaryota","","","","","","","","","","","","","","",""
"OTU00701","","","","","","","","","","","","","","","",""
"OTU00702","","","","","","","","","","","","","","","",""
"OTU00703","","","","","","","","","","","","","","","",""
"OTU00704","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00705","","","","","","","","","","","","","","","",""
"OTU00706","","","","","","","","","","","","","","","",""
"OTU00707","Eukaryota","Viridiplantae","","Chlorophyta","","Mamiellophyceae","","","Mamiellales","","Mamiellaceae","","","","",""
"OTU00708","","","","","","","","","","","","","","","",""
"OTU00709","","","","","","","","","","","","","","","",""
"OTU00710","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00711","","","","","","","","","","","","","","","",""
"OTU00712","","","","","","","","","","","","","","","",""
"OTU00713","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00714","","","","","","","","","","","","","","","",""
"OTU00715","","","","","","","","","","","","","","","",""
"OTU00716","Eukaryota","","","Oomycota","","","","","Pythiales","","Pythiaceae","","","","Pythium","Pythium sp."
"OTU00717","","","","","","","","","","","","","","","",""
"OTU00718","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00719","","","","","","","","","","","","","","","",""
"OTU00720","","","","","","","","","","","","","","","",""
"OTU00721","","","","","","","","","","","","","","","",""
"OTU00722","","","","","","","","","","","","","","","",""
"OTU00723","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporomycetidae","","Pleosporales","Pleosporineae","Phaeosphaeriaceae","","","","Paraphoma",""
"OTU00724","","","","","","","","","","","","","","","",""
"OTU00725","","","","","","","","","","","","","","","",""
"OTU00726","","","","","","","","","","","","","","","",""
"OTU00727","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00728","Eukaryota","","","Oomycota","","","","","","","","","","","",""
"OTU00729","","","","","","","","","","","","","","","",""
"OTU00730","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Sordariomycetes","Hypocreomycetidae","","Hypocreales","","Nectriaceae","","","","Fusarium",""
"OTU00731","","","","","","","","","","","","","","","",""
"OTU00732","","","","","","","","","","","","","","","",""
"OTU00733","","","","","","","","","","","","","","","",""
"OTU00734","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00735","","","","","","","","","","","","","","","",""
"OTU00736","","","","","","","","","","","","","","","",""
"OTU00737","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00738","","","","","","","","","","","","","","","",""
"OTU00739","Eukaryota","","","","","","","","","","","","","","",""
"OTU00740","","","","","","","","","","","","","","","",""
"OTU00741","","","","","","","","","","","","","","","",""
"OTU00742","Eukaryota","","","Ciliophora","Intramacronucleata","Spirotrichea","Stichotrichia","","Sporadotrichida","","","","","","",""
"OTU00743","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Rhizophydiales","","","","","","",""
"OTU00744","Eukaryota","Fungi","Dikarya","Basidiomycota","Pucciniomycotina","Microbotryomycetes","","","Sporidiobolales","","Sporidiobolaceae","","","","Sporobolomyces","Sporobolomyces sp."
"OTU00745","","","","","","","","","","","","","","","",""
"OTU00746","Eukaryota","","","Oomycota","","","","","Pythiales","","Pythiaceae","","","","",""
"OTU00747","","","","","","","","","","","","","","","",""
"OTU00748","Eukaryota","Fungi","Dikarya","Basidiomycota","Pucciniomycotina","Microbotryomycetes","","","","","","","","","",""
"OTU00749","","","","","","","","","","","","","","","",""
"OTU00750","","","","","","","","","","","","","","","",""
"OTU00751","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","Agaricomycetidae","","Agaricales","Tricholomatineae","Tricholomataceae","","","","Resupinatus",""
"OTU00752","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00753","","","","","","","","","","","","","","","",""
"OTU00754","","","","","","","","","","","","","","","",""
"OTU00755","","","","","","","","","","","","","","","",""
"OTU00756","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00757","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00758","","","","","","","","","","","","","","","",""
"OTU00759","","","","","","","","","","","","","","","",""
"OTU00760","Eukaryota","","","","","","","","","","","","","","",""
"OTU00761","Eukaryota","Fungi","","","","","","","","","","","","","","fungal sp."
"OTU00762","","","","","","","","","","","","","","","",""
"OTU00763","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Mesochytriales","","","","","","",""
"OTU00764","","","","","","","","","","","","","","","",""
"OTU00765","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Cladochytriales","","","","","","",""
"OTU00766","","","","","","","","","","","","","","","",""
"OTU00767","","","","","","","","","","","","","","","",""
"OTU00768","","","","","","","","","","","","","","","",""
"OTU00769","","","","","","","","","","","","","","","",""
"OTU00770","","","","","","","","","","","","","","","",""
"OTU00771","","","","","","","","","","","","","","","",""
"OTU00772","","","","","","","","","","","","","","","",""
"OTU00773","","","","","","","","","","","","","","","",""
"OTU00774","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","","","","","","","","","","",""
"OTU00775","Eukaryota","Fungi","Dikarya","Ascomycota","Saccharomycotina","Saccharomycetes","","","Saccharomycetales","","Debaryomycetaceae","","","","Scheffersomyces",""
"OTU00776","Eukaryota","Fungi","Dikarya","Basidiomycota","Pucciniomycotina","Microbotryomycetes","","","Microbotryales","","","","","","",""
"OTU00777","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","","","","","","","","Chytridiomycetes sp."
"OTU00778","","","","","","","","","","","","","","","",""
"OTU00779","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Sordariomycetes","Hypocreomycetidae","","Hypocreales","","","","","","",""
"OTU00780","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00781","","","","","","","","","","","","","","","",""
"OTU00782","","","","","","","","","","","","","","","",""
"OTU00783","","","","","","","","","","","","","","","",""
"OTU00784","Eukaryota","Fungi","","Mucoromycota","","","","","","","","","","","",""
"OTU00785","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00786","","","","","","","","","","","","","","","",""
"OTU00787","","","","","","","","","","","","","","","",""
"OTU00788","","","","","","","","","","","","","","","",""
"OTU00789","","","","","","","","","","","","","","","",""
"OTU00790","","","","","","","","","","","","","","","",""
"OTU00791","","","","","","","","","","","","","","","",""
"OTU00792","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","Polyporales","","Steccherinaceae","","","","Steccherinum",""
"OTU00793","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00794","Eukaryota","Fungi","","","","","","","","","","","","","","fungal sp."
"OTU00795","","","","","","","","","","","","","","","",""
"OTU00796","","","","","","","","","","","","","","","",""
"OTU00797","","","","","","","","","","","","","","","",""
"OTU00798","Eukaryota","Fungi","Dikarya","Basidiomycota","Ustilaginomycotina","Ustilaginomycetes","","","Ustilaginales","","Ustilaginaceae","","","","Kalmanozyma",""
"OTU00799","","","","","","","","","","","","","","","",""
"OTU00800","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00801","","","","","","","","","","","","","","","",""
"OTU00802","","","","","","","","","","","","","","","",""
"OTU00803","Eukaryota","Fungi","Dikarya","Basidiomycota","Ustilaginomycotina","Ustilaginomycetes","","","Ustilaginales","","Ustilaginaceae","","","","Moesziomyces",""
"OTU00804","","","","","","","","","","","","","","","",""
"OTU00805","","","","","","","","","","","","","","","",""
"OTU00806","","","","","","","","","","","","","","","",""
"OTU00807","","","","","","","","","","","","","","","",""
"OTU00808","","","","","","","","","","","","","","","",""
"OTU00809","","","","","","","","","","","","","","","",""
"OTU00810","Eukaryota","","","","","","","","","","","","","","",""
"OTU00811","","","","","","","","","","","","","","","",""
"OTU00812","Eukaryota","Fungi","","","","","","","","","","","","","","fungal sp."
"OTU00813","","","","","","","","","","","","","","","",""
"OTU00814","","","","","","","","","","","","","","","",""
"OTU00815","","","","","","","","","","","","","","","",""
"OTU00816","","","","","","","","","","","","","","","",""
"OTU00817","","","","","","","","","","","","","","","",""
"OTU00818","Eukaryota","Viridiplantae","","Chlorophyta","","Ulvophyceae","","","Ulotrichales","","Tupiellaceae","","","","Vischerioclonium",""
"OTU00819","Eukaryota","","","Oomycota","","","","","","","","","","","",""
"OTU00820","","","","","","","","","","","","","","","",""
"OTU00821","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Zygophlyctidales","","Zygophlyctidaceae","","","","Zygophlyctis",""
"OTU00822","","","","","","","","","","","","","","","",""
"OTU00823","","","","","","","","","","","","","","","",""
"OTU00824","","","","","","","","","","","","","","","",""
"OTU00825","","","","","","","","","","","","","","","",""
"OTU00826","","","","","","","","","","","","","","","",""
"OTU00827","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","Hymenochaetales","","","","","","",""
"OTU00828","","","","","","","","","","","","","","","",""
"OTU00829","Eukaryota","Fungi","","","","","","","","","","","","","","fungal sp."
"OTU00830","","","","","","","","","","","","","","","",""
"OTU00831","","","","","","","","","","","","","","","",""
"OTU00832","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00833","","","","","","","","","","","","","","","",""
"OTU00834","","","","","","","","","","","","","","","",""
"OTU00835","Eukaryota","","","Oomycota","","","","","Pythiales","","Pythiaceae","","","","Pythium",""
"OTU00836","","","","","","","","","","","","","","","",""
"OTU00837","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","Corticiales","","Corticiaceae","","","","Peniophorella",""
"OTU00838","","","","","","","","","","","","","","","",""
"OTU00839","","","","","","","","","","","","","","","",""
"OTU00840","","","","","","","","","","","","","","","",""
"OTU00841","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00842","","","","","","","","","","","","","","","",""
"OTU00843","","","","","","","","","","","","","","","",""
"OTU00844","Eukaryota","","","","","Glaucocystophyceae","","","","","Cyanophoraceae","","","","Cyanophora","Cyanophora paradoxa"
"OTU00845","","","","","","","","","","","","","","","",""
"OTU00846","","","","","","","","","","","","","","","",""
"OTU00847","","","","","","","","","","","","","","","",""
"OTU00848","","","","","","","","","","","","","","","",""
"OTU00849","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00850","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00851","","","","","","","","","","","","","","","",""
"OTU00852","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00853","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","Polyporales","","","","","","",""
"OTU00854","","","","","","","","","","","","","","","",""
"OTU00855","","","","","","","","","","","","","","","",""
"OTU00856","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporomycetidae","","Pleosporales","Pleosporineae","","","","","",""
"OTU00857","","","","","","","","","","","","","","","",""
"OTU00858","","","","","","","","","","","","","","","",""
"OTU00859","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","Polyporales","","","","","","",""
"OTU00860","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00861","","","","","","","","","","","","","","","",""
"OTU00862","","","","","","","","","","","","","","","",""
"OTU00863","","","","","","","","","","","","","","","",""
"OTU00864","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00865","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Zygophlyctidales","","Zygophlyctidaceae","","","","Zygophlyctis",""
"OTU00866","","","","","","","","","","","","","","","",""
"OTU00867","","","","","","","","","","","","","","","",""
"OTU00868","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00869","","","","","","","","","","","","","","","",""
"OTU00870","","","","","","","","","","","","","","","",""
"OTU00871","","","","","","","","","","","","","","","",""
"OTU00872","","","","","","","","","","","","","","","",""
"OTU00873","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporomycetidae","","Pleosporales","Pleosporineae","Phaeosphaeriaceae","","","","",""
"OTU00874","","","","","","","","","","","","","","","",""
"OTU00875","","","","","","","","","","","","","","","",""
"OTU00876","","","","","","","","","","","","","","","",""
"OTU00877","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00878","","","","","","","","","","","","","","","",""
"OTU00879","","","","","","","","","","","","","","","",""
"OTU00880","","","","","","","","","","","","","","","",""
"OTU00881","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00882","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00883","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","Polyporales","","Polyporaceae","","","","Trametes",""
"OTU00884","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00885","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Zygophlyctidales","","Zygophlyctidaceae","","","","Zygophlyctis",""
"OTU00886","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","Polyporales","","","","","","",""
"OTU00887","","","","","","","","","","","","","","","",""
"OTU00888","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Eurotiomycetes","Eurotiomycetidae","","Eurotiales","","","","","","",""
"OTU00889","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00890","","","","","","","","","","","","","","","",""
"OTU00891","","","","","","","","","","","","","","","",""
"OTU00892","","","","","","","","","","","","","","","",""
"OTU00893","","","","","","","","","","","","","","","",""
"OTU00894","Eukaryota","","","Oomycota","","","","","Saprolegniales","","Saprolegniaceae","","","","Aphanomyces",""
"OTU00895","","","","","","","","","","","","","","","",""
"OTU00896","Eukaryota","","","Oomycota","","","","","","","","","","","",""
"OTU00897","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Lobulomycetales","","","","","","","Lobulomycetales sp."
"OTU00898","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Sordariomycetes","Hypocreomycetidae","","Hypocreales","","Clavicipitaceae","","","","Metarhizium",""
"OTU00899","","","","","","","","","","","","","","","",""
"OTU00900","","","","","","","","","","","","","","","",""
"OTU00901","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Zygophlyctidales","","Zygophlyctidaceae","","","","Zygophlyctis",""
"OTU00902","","","","","","","","","","","","","","","",""
"OTU00903","","","","","","","","","","","","","","","",""
"OTU00904","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00905","","","","","","","","","","","","","","","",""
"OTU00906","","","","","","","","","","","","","","","",""
"OTU00907","","","","","","","","","","","","","","","",""
"OTU00908","","","","","","","","","","","","","","","",""
"OTU00909","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00910","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Leotiomycetes","","","Helotiales","","","","","","Tetracladium","Tetracladium sp."
"OTU00911","","","","","","","","","","","","","","","",""
"OTU00912","","","","","","","","","","","","","","","",""
"OTU00913","","","","","","","","","","","","","","","",""
"OTU00914","","","","","","","","","","","","","","","",""
"OTU00915","","","","","","","","","","","","","","","",""
"OTU00916","","","","","","","","","","","","","","","",""
"OTU00917","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00918","","","","","","","","","","","","","","","",""
"OTU00919","","","","","","","","","","","","","","","",""
"OTU00920","","","","","","","","","","","","","","","",""
"OTU00921","","","","","","","","","","","","","","","",""
"OTU00922","","","","","","","","","","","","","","","",""
"OTU00923","","","","","","","","","","","","","","","",""
"OTU00924","","","","","","","","","","","","","","","",""
"OTU00925","","","","","","","","","","","","","","","",""
"OTU00926","","","","","","","","","","","","","","","",""
"OTU00927","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Mesochytriales","","","","","","","Mesochytriales sp. 1-HN-2023"
"OTU00928","","","","","","","","","","","","","","","",""
"OTU00929","","","","","","","","","","","","","","","",""
"OTU00930","","","","","","","","","","","","","","","",""
"OTU00931","","","","","","","","","","","","","","","",""
"OTU00932","","","","","","","","","","","","","","","",""
"OTU00933","","","","","","","","","","","","","","","",""
"OTU00934","","","","","","","","","","","","","","","",""
"OTU00935","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Rhizophydiales","","Protrudomycetaceae","","","","Protrudomyces","Protrudomyces sp."
"OTU00936","","","","","","","","","","","","","","","",""
"OTU00937","Eukaryota","Fungi","","","","","","","","","","","","","","fungal sp."
"OTU00938","Eukaryota","","","Oomycota","","","","","Pythiales","","Pythiaceae","","","","Pythium","Pythium sp. 'Clade A'"
"OTU00939","","","","","","","","","","","","","","","",""
"OTU00940","","","","","","","","","","","","","","","",""
"OTU00941","","","","","","","","","","","","","","","",""
"OTU00942","","","","","","","","","","","","","","","",""
"OTU00943","Eukaryota","Fungi","","Mucoromycota","Mortierellomycotina","Mortierellomycetes","","","Mortierellales","","Mortierellaceae","","","","Mortierella",""
"OTU00944","","","","","","","","","","","","","","","",""
"OTU00945","","","","","","","","","","","","","","","",""
"OTU00946","","","","","","","","","","","","","","","",""
"OTU00947","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Sordariomycetes","Xylariomycetidae","","Xylariales","","","","","","",""
"OTU00948","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00949","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00950","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00951","","","","","","","","","","","","","","","",""
"OTU00952","","","","","","","","","","","","","","","",""
"OTU00953","","","","","","","","","","","","","","","",""
"OTU00954","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","Corticiales","","Corticiaceae","","","","Peniophorella","Peniophorella rude"
"OTU00955","","","","","","","","","","","","","","","",""
"OTU00956","Eukaryota","","","Ciliophora","","","","","","","","","","","",""
"OTU00957","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00958","","","","","","","","","","","","","","","",""
"OTU00959","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Sordariomycetes","Hypocreomycetidae","","Hypocreales","","Hypocreaceae","","","","Trichoderma",""
"OTU00960","","","","","","","","","","","","","","","",""
"OTU00961","","","","","","","","","","","","","","","",""
"OTU00962","Eukaryota","","","","","Synurophyceae","","","Synurales","","Mallomonadaceae","","","","Synura",""
"OTU00963","","","","","","","","","","","","","","","",""
"OTU00964","","","","","","","","","","","","","","","",""
"OTU00965","","","","","","","","","","","","","","","",""
"OTU00966","","","","","","","","","","","","","","","",""
"OTU00967","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Zygophlyctidales","","Zygophlyctidaceae","","","","Zygophlyctis","Zygophlyctis sp."
"OTU00968","","","","","","","","","","","","","","","",""
"OTU00969","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00970","","","","","","","","","","","","","","","",""
"OTU00971","","","","","","","","","","","","","","","",""
"OTU00972","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00973","","","","","","","","","","","","","","","",""
"OTU00974","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","Polyporales","","Irpicaceae","","","","Ceriporia",""
"OTU00975","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Dothideomycetes","Dothideomycetidae","","Mycosphaerellales","","Mycosphaerellaceae","","","","Microcyclosporella","Microcyclosporella mali"
"OTU00976","","","","","","","","","","","","","","","",""
"OTU00977","","","","","","","","","","","","","","","",""
"OTU00978","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Zygophlyctidales","","Zygophlyctidaceae","","","","Zygophlyctis","Zygophlyctis sp."
"OTU00979","","","","","","","","","","","","","","","",""
"OTU00980","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Zygophlyctidales","","Zygophlyctidaceae","","","","Zygophlyctis","Zygophlyctis sp."
"OTU00981","","","","","","","","","","","","","","","",""
"OTU00982","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","Polyporales","","Polyporaceae","","","","",""
"OTU00983","Eukaryota","","","Oomycota","","","","","Lagenidiales","","Lagenidiaceae","","","","Lagenidium",""
"OTU00984","","","","","","","","","","","","","","","",""
"OTU00985","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","Auriculariales","","Auriculariaceae","","","","Auricularia","Auricularia minutissima"
"OTU00986","Eukaryota","","","","","","","","","","","","","","",""
"OTU00987","","","","","","","","","","","","","","","",""
"OTU00988","","","","","","","","","","","","","","","",""
"OTU00989","","","","","","","","","","","","","","","",""
"OTU00990","","","","","","","","","","","","","","","",""
"OTU00991","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","","","","","","","",""
"OTU00992","","","","","","","","","","","","","","","",""
"OTU00993","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00994","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00995","","","","","","","","","","","","","","","",""
"OTU00996","","","","","","","","","","","","","","","",""
"OTU00997","","","","","","","","","","","","","","","",""
"OTU00998","","","","","","","","","","","","","","","",""
"OTU00999","","","","","","","","","","","","","","","",""
"OTU01000","","","","","","","","","","","","","","","",""
"OTU01001","","","","","","","","","","","","","","","",""
"OTU01002","","","","","","","","","","","","","","","",""
