date,n_week,treatment,sampling_point,sample_code,Insect_sheet_collected,other_planthopper,cicadellidae_spp,thysanoptera_spp
2017/05/19,0,NoFert,1,17_0519_NoFert_1,N,NA,NA,NA
2017/05/19,0,NoFert,2,17_0519_NoFert_2,N,NA,NA,NA
2017/05/19,0,NoFert,3,17_0519_NoFert_3,N,NA,NA,NA
2017/05/19,0,NoFert,4,17_0519_NoFert_4,N,NA,NA,NA
2017/05/19,0,NoFert,5,17_0519_NoFert_5,N,NA,NA,NA
2017/05/19,0,Conv,6,17_0519_Conv_6,N,NA,NA,NA
2017/05/19,0,Conv,7,17_0519_Conv_7,N,NA,NA,NA
2017/05/19,0,Conv,8,17_0519_Conv_8,N,NA,NA,NA
2017/05/19,0,Conv,9,17_0519_Conv_9,N,NA,NA,NA
2017/05/19,0,Conv,10,17_0519_Conv_10,N,NA,NA,NA
2017/05/19,0,NC,0,17_0519_NC_0,N,NA,NA,NA
2017/05/31,1,NoFert,1,17_0531_NoFert_1,Y,125,24,38
2017/05/31,1,NoFert,2,17_0531_NoFert_2,Y,121,41,38
2017/05/31,1,NoFert,3,17_0531_NoFert_3,Y,136,60,16
2017/05/31,1,NoFert,4,17_0531_NoFert_4,Y,49,10,80
2017/05/31,1,NoFert,5,17_0531_NoFert_5,Y,161,5,110
2017/05/31,1,Conv,6,17_0531_Conv_6,Y,12,7,124
2017/05/31,1,Conv,7,17_0531_Conv_7,Y,0,12,60
2017/05/31,1,Conv,8,17_0531_Conv_8,Y,106,30,51
2017/05/31,1,Conv,9,17_0531_Conv_9,Y,79,37,48
2017/05/31,1,Conv,10,17_0531_Conv_10,Y,20,9,21
2017/05/31,1,NC,0,17_0531_NC_0,N,NA,NA,NA
2017/06/07,2,NoFert,1,17_0607_NoFert_1,Y,0,1,18
2017/06/07,2,NoFert,2,17_0607_NoFert_2,Y,0,3,31
2017/06/07,2,NoFert,3,17_0607_NoFert_3,Y,0,2,9
2017/06/07,2,NoFert,4,17_0607_NoFert_4,Y,0,4,36
2017/06/07,2,NoFert,5,17_0607_NoFert_5,Y,1,4,5
2017/06/07,2,Conv,6,17_0607_Conv_6,Y,0,3,7
2017/06/07,2,Conv,7,17_0607_Conv_7,Y,0,5,9
2017/06/07,2,Conv,8,17_0607_Conv_8,Y,0,12,1
2017/06/07,2,Conv,9,17_0607_Conv_9,Y,0,7,0
2017/06/07,2,Conv,10,17_0607_Conv_10,Y,0,5,2
2017/06/07,2,NC,0,17_0607_NC_0,N,NA,NA,NA
2017/06/14,3,NoFert,1,17_0614_NoFert_1,Y,0,8,19
2017/06/14,3,NoFert,2,17_0614_NoFert_2,Y,0,3,22
2017/06/14,3,NoFert,3,17_0614_NoFert_3,Y,2,9,13
2017/06/14,3,NoFert,4,17_0614_NoFert_4,Y,1,1,20
2017/06/14,3,NoFert,5,17_0614_NoFert_5,Y,0,6,7
2017/06/14,3,Conv,6,17_0614_Conv_6,Y,0,2,7
2017/06/14,3,Conv,7,17_0614_Conv_7,Y,0,0,5
2017/06/14,3,Conv,8,17_0614_Conv_8,Y,0,3,6
2017/06/14,3,Conv,9,17_0614_Conv_9,Y,0,5,8
2017/06/14,3,Conv,10,17_0614_Conv_10,Y,0,3,1
2017/06/14,3,NC,0,17_0614_NC_0,N,NA,NA,NA
2017/06/21,4,NoFert,1,17_0621_NoFert_1,Y,1,0,0
2017/06/21,4,NoFert,2,17_0621_NoFert_2,Y,0,0,5
2017/06/21,4,NoFert,3,17_0621_NoFert_3,Y,0,0,0
2017/06/21,4,NoFert,4,17_0621_NoFert_4,Y,0,0,0
2017/06/21,4,NoFert,5,17_0621_NoFert_5,Y,0,0,0
2017/06/21,4,Conv,6,17_0621_Conv_6,Y,0,3,0
2017/06/21,4,Conv,7,17_0621_Conv_7,Y,0,0,1
2017/06/21,4,Conv,8,17_0621_Conv_8,Y,0,4,4
2017/06/21,4,Conv,9,17_0621_Conv_9,Y,0,1,2
2017/06/21,4,Conv,10,17_0621_Conv_10,N,0,5,7
2017/06/21,4,NC,0,17_0621_NC_0,N,NA,NA,NA
2017/06/28,5,NoFert,1,17_0628_NoFert_1,Y,0,1,87
2017/06/28,5,NoFert,2,17_0628_NoFert_2,Y,0,5,74
2017/06/28,5,NoFert,3,17_0628_NoFert_3,Y,0,0,51
2017/06/28,5,NoFert,4,17_0628_NoFert_4,Y,0,4,39
2017/06/28,5,NoFert,5,17_0628_NoFert_5,Y,0,3,74
2017/06/28,5,Conv,6,17_0628_Conv_6,Y,0,0,85
2017/06/28,5,Conv,7,17_0628_Conv_7,Y,0,0,111
2017/06/28,5,Conv,8,17_0628_Conv_8,Y,0,1,91
2017/06/28,5,Conv,9,17_0628_Conv_9,Y,0,2,84
2017/06/28,5,Conv,10,17_0628_Conv_10,Y,0,0,158
2017/06/28,5,NC,0,17_0628_NC_0,N,NA,NA,NA
2017/07/05,6,NoFert,1,17_0705_NoFert_1,N (next day),4,0,11
2017/07/05,6,NoFert,2,17_0705_NoFert_2,N (next day),0,1,20
2017/07/05,6,NoFert,3,17_0705_NoFert_3,N (next day),0,1,36
2017/07/05,6,NoFert,4,17_0705_NoFert_4,N (next day),0,1,14
2017/07/05,6,NoFert,5,17_0705_NoFert_5,N (next day),0,0,21
2017/07/05,6,Conv,6,17_0705_Conv_6,N (next day),0,2,12
2017/07/05,6,Conv,7,17_0705_Conv_7,N (next day),0,3,18
2017/07/05,6,Conv,8,17_0705_Conv_8,N (next day),0,3,22
2017/07/05,6,Conv,9,17_0705_Conv_9,N (next day),0,3,29
2017/07/05,6,Conv,10,17_0705_Conv_10,N (next day),0,1,14
2017/07/05,6,NC,0,17_0705_NC_0,N,NA,NA,NA
2017/07/12,7,NoFert,1,17_0712_NoFert_1,Y,0,4,11
2017/07/12,7,NoFert,2,17_0712_NoFert_2,Y,0,12,4
2017/07/12,7,NoFert,3,17_0712_NoFert_3,Y,0,22,30
2017/07/12,7,NoFert,4,17_0712_NoFert_4,Y,0,5,11
2017/07/12,7,NoFert,5,17_0712_NoFert_5,Y,0,0,8
2017/07/12,7,Conv,6,17_0712_Conv_6,Y,0,16,16
2017/07/12,7,Conv,7,17_0712_Conv_7,Y,0,12,23
2017/07/12,7,Conv,8,17_0712_Conv_8,Y,0,20,5
2017/07/12,7,Conv,9,17_0712_Conv_9,Y,0,22,1
2017/07/12,7,Conv,10,17_0712_Conv_10,Y,0,19,21
2017/07/12,7,NC,0,17_0712_NC_0,N,NA,NA,NA
2017/07/19,8,NoFert,1,17_0719_NoFert_1,Y,0,7,19
2017/07/19,8,NoFert,2,17_0719_NoFert_2,Y,0,7,17
2017/07/19,8,NoFert,3,17_0719_NoFert_3,Y,0,39,32
2017/07/19,8,NoFert,4,17_0719_NoFert_4,Y,0,23,22
2017/07/19,8,NoFert,5,17_0719_NoFert_5,Y,0,21,4
2017/07/19,8,Conv,6,17_0719_Conv_6,Y,1,10,18
2017/07/19,8,Conv,7,17_0719_Conv_7,Y,0,24,15
2017/07/19,8,Conv,8,17_0719_Conv_8,Y,0,27,36
2017/07/19,8,Conv,9,17_0719_Conv_9,Y,0,15,22
2017/07/19,8,Conv,10,17_0719_Conv_10,Y,0,23,11
2017/07/19,8,NC,0,17_0719_NC_0,N,NA,NA,NA
2017/07/26,9,NoFert,1,17_0726_NoFert_1,Y,NA,NA,NA
2017/07/26,9,NoFert,2,17_0726_NoFert_2,Y,NA,NA,NA
2017/07/26,9,NoFert,3,17_0726_NoFert_3,Y,NA,NA,NA
2017/07/26,9,NoFert,4,17_0726_NoFert_4,Y,NA,NA,NA
2017/07/26,9,NoFert,5,17_0726_NoFert_5,Y,NA,NA,NA
2017/07/26,9,Conv,6,17_0726_Conv_6,Y,NA,NA,NA
2017/07/26,9,Conv,7,17_0726_Conv_7,Y,NA,NA,NA
