"","input","filtered","denoised","merged","tabled","tabled2","nonchim","prop(last/first)"
"S142",62412,59942,59812,59477,59477,59477,59435,0.952300839582132
"S143",50025,49196,49087,48501,48501,48501,48397,0.967456271864068
"S144",9847,9734,9727,9282,9282,9282,9241,0.93845841373007
"S145",22402,22104,22099,21615,21615,21615,21569,0.96281582001607
"S146",15947,15718,15704,15512,15512,15512,15500,0.971969649463849
"S147",18250,18011,18006,17755,17755,17755,17743,0.972219178082192
"S148",10799,10645,10639,10400,10400,10400,10382,0.961385313454949
"S149",14305,14103,14076,13958,13958,13958,13768,0.962460678084586
"S150",18756,18431,18420,18280,18280,18280,18269,0.974034975474515
"S151",3608,3545,3539,3494,3494,3494,3482,0.965077605321508
"S152",961,944,943,917,917,917,916,0.953173777315297
