"","input","filtered","denoised","merged","tabled","tabled2","nonchim","prop(last/first)"
"S001",59,48,47,36,36,36,36,0.610169491525424
"S002",4629,3652,3578,3160,3160,3160,3160,0.682652840786347
"S003",12075,10495,10455,8834,8834,8834,8834,0.731594202898551
"S004",13620,12112,12026,10770,10770,10770,10758,0.789867841409692
"S005",7156,6187,6077,5086,5086,5086,5086,0.710732252655115
"S006",33405,30391,30176,26906,26906,26906,26775,0.801526717557252
"S007",7326,6309,6249,5228,5228,5228,5228,0.713622713622714
"S008",5541,4566,4556,3918,3918,3918,3918,0.707092582566324
"S009",10905,9291,9221,7813,7813,7813,7813,0.716460339293902
"S010",11785,10523,10443,8778,8778,8778,8778,0.744845142129826
"S011",9142,7869,7852,6852,6852,6852,6852,0.749507766353096
"S012",94354,89254,89188,86928,86928,86928,86928,0.921296394429489
"S013",32270,30044,29863,28076,28076,28076,28075,0.870003098853424
"S014",13849,12271,12231,10354,10354,10354,10340,0.746624305003971
"S015",25695,19561,19488,17779,17779,17779,17779,0.691924498929753
"S016",7918,6911,6873,5878,5878,5878,5878,0.742359181611518
"S017",14207,12294,12192,10762,10762,10762,10757,0.757161962412895
"S018",5381,4258,4242,3664,3664,3664,3664,0.680914328191786
"S019",10602,9000,8949,7733,7733,7733,7727,0.728824750047161
"S020",5558,4546,4532,3699,3699,3699,3699,0.66552716804606
"S021",7738,5435,5359,4545,4545,4545,4545,0.587361075213233
"S022",15330,13009,12871,11778,11778,11778,11773,0.767971298108284
"S023",11835,9849,9800,8415,8415,8415,8415,0.711026615969582
"S024",3260,2477,2459,2226,2226,2226,2226,0.682822085889571
"S025",51345,47948,47906,46746,46746,46746,46746,0.910429447852761
"S026",9951,8978,8961,8559,8559,8559,8559,0.860114561350618
"S027",9291,7750,7732,6359,6359,6359,6359,0.684425788397374
"S028",32383,29609,29443,27091,27091,27091,27087,0.83645740048791
"S029",27242,23950,23855,22324,22324,22324,22124,0.812128331253212
"S030",313,250,246,203,203,203,203,0.648562300319489
"S031",12613,11030,10915,10013,10013,10013,10006,0.793308491239198
"S032",1914,1157,1142,894,894,894,894,0.467084639498433
"S033",11693,8697,8638,7236,7236,7236,7236,0.618831779697255
"S034",14479,11078,10983,10113,10113,10113,10011,0.691415152980178
"S035",26299,23472,23286,20470,20470,20470,20428,0.776759572607323
"S036",9528,8585,8569,7720,7720,7720,7720,0.81024349286314
"S037",115721,111061,110896,107196,107196,107196,107196,0.926331435089569
"S038",61360,58265,58086,56973,56973,56973,56973,0.928503911342894
"S039",15193,13189,13141,11347,11347,11347,11347,0.746857105245837
"S040",43151,38626,38468,35201,35201,35201,35199,0.81571690111469
"S041",88299,80148,79966,74840,74840,74840,73941,0.837393401963782
"S042",4286,627,608,553,553,553,553,0.129024731684554
"S043",21160,18751,18478,16777,16777,16777,16683,0.788421550094518
"S044",5556,2752,2741,2012,2012,2012,2011,0.361951043916487
"S045",17940,13588,13492,11471,11471,11471,11471,0.639409141583055
"S046",34973,30652,30383,28342,28342,28342,28236,0.807365682097618
"S047",18577,15039,14961,13129,13129,13129,13128,0.706680303601227
"S048",3886,2528,2524,2264,2264,2264,2264,0.582604220277921
"S049",17994,15678,15589,13884,13884,13884,13883,0.771534956096477
"S050",17986,11809,11769,11232,11232,11232,11232,0.62448571110864
"S051",9056,7674,7649,6540,6540,6540,6540,0.722173144876325
"S052",96537,89397,88654,84780,84780,84780,82325,0.852781834944115
"S053",119712,110068,109738,102504,102504,102504,101314,0.846314488104785
"S054",16202,13928,13786,11540,11540,11540,11540,0.712257745957289
"S055",16947,15037,14860,13293,13293,13293,13292,0.78432760960642
"S056",6523,5627,5616,4755,4755,4755,4755,0.728959067913537
"S057",11983,9203,9124,7831,7831,7831,7829,0.65334223483268
"S058",7756,5878,5845,5298,5298,5298,5298,0.68308406395049
"S059",9580,7976,7893,7010,7010,7010,7010,0.731732776617954
"S060",5805,5125,5116,4320,4320,4320,4320,0.744186046511628
"S061",71947,69032,68927,67033,67033,67033,67033,0.931699723407508
"S062",30239,28356,28214,27106,27106,27106,27106,0.896392076457555
"S063",23714,19561,19546,17063,17063,17063,17062,0.719490596272244
"S064",8806,5994,5987,5358,5358,5358,5358,0.608448784919373
"S065",29006,20753,20622,18802,18802,18802,18802,0.648210715024478
"S066",3023,2220,2218,1864,1864,1864,1864,0.616606020509428
"S067",8150,5569,5564,4717,4717,4717,4717,0.578773006134969
"S068",7405,5711,5699,4611,4611,4611,4611,0.622687373396354
"S069",8713,7003,6989,5673,5673,5673,5673,0.65109606335361
"S070",11353,8814,8804,7292,7292,7292,7292,0.642297190169999
"S071",7250,5948,5943,5013,5013,5013,5013,0.691448275862069
"S072",6002,4879,4877,4158,4158,4158,4158,0.692769076974342
"S073",10491,7871,7827,6392,6392,6392,6391,0.609188828519684
"S074",8020,4072,4038,3203,3203,3203,3203,0.399376558603491
"S075",11452,9142,9124,7389,7389,7389,7389,0.645214809640237
"S076",7771,5603,5493,4585,4585,4585,4585,0.590014155192382
"S077",6458,4663,4659,3739,3739,3739,3739,0.578971817900279
"S078",10177,8233,8221,6641,6641,6641,6641,0.652549867347941
"S079",786,22,22,21,21,21,21,0.0267175572519084
"S080",686,28,28,28,28,28,28,0.0408163265306122
"S081",6365,4682,4679,3894,3894,3894,3894,0.611783189316575
"S082",3539,2169,2139,1760,1760,1760,1760,0.497315625883018
"S083",7256,5350,5264,4377,4377,4377,4377,0.603224917309813
"S084",5808,4227,4217,3519,3519,3519,3519,0.605888429752066
"S085",5730,4360,4355,3499,3499,3499,3499,0.61064572425829
"S086",8573,7011,6998,5722,5722,5722,5722,0.667444301877989
"S087",5868,4857,4848,4027,4027,4027,4027,0.68626448534424
"S088",5624,4493,4489,3803,3803,3803,3803,0.676209103840683
"S089",16373,11369,11300,10397,10397,10397,10360,0.632749038050449
"S090",20299,9222,9202,8781,8781,8781,8773,0.432188777772304
"S091",27532,22681,22609,21734,21734,21734,21606,0.784759552520703
"S092",18506,14347,14249,13236,13236,13236,13230,0.714903274613639
"S093",17098,13919,13861,12977,12977,12977,12967,0.758392794478886
"S094",33843,21620,21498,19922,19922,19922,19918,0.588541204975918
"S095",11644,6339,6309,5527,5527,5527,5527,0.474665063552044
"S096",21541,17779,17713,16905,16905,16905,16905,0.784782507775869
"S097",9823,7953,7870,7190,7190,7190,7190,0.731955614374427
"S098",14826,9570,9516,8730,8730,8730,8730,0.588830433023068
"S099",11493,9274,9183,8524,8524,8524,8502,0.739754633255025
"S100",16708,13510,13414,12758,12758,12758,12660,0.75772085228633
"S101",24512,19117,19038,18195,18195,18195,18141,0.740086488250653
"S102",34095,31096,31047,30263,30263,30263,30071,0.881976829447133
"S103",9976,7979,7910,7306,7306,7306,7290,0.730753809141941
"S104",4809,3957,3920,3585,3585,3585,3583,0.745061343314618
"S105",14303,10111,10041,9277,9277,9277,9277,0.648605187722855
"S106",3220,1632,1626,1420,1420,1420,1420,0.440993788819876
"S107",9727,8023,7991,7367,7367,7367,7367,0.757376375038552
"S108",7360,6215,6146,5484,5484,5484,5484,0.745108695652174
"S109",18329,15340,15247,14046,14046,14046,14046,0.766326586284031
"S110",20715,17339,17173,15978,15978,15978,15975,0.771180304127444
"S111",9744,7900,7838,7275,7275,7275,7242,0.743226600985222
"S112",19776,17955,17882,17300,17300,17300,17222,0.87085355987055
"S113",37164,33674,33641,32841,32841,32841,32729,0.880664083521688
"S114",7532,6392,6331,5987,5987,5987,5979,0.793813064259161
"S115",7818,6309,6275,5804,5804,5804,5801,0.742005628037861
"S116",10580,7928,7855,7447,7447,7447,7437,0.702930056710775
"S117",12774,7500,7426,6508,6508,6508,6507,0.509394081728511
"S118",14404,11846,11725,10994,10994,10994,10994,0.763260205498473
"S119",12433,10386,10266,9300,9300,9300,9300,0.748009330008847
"S120",11945,8952,8880,8265,8265,8265,8265,0.691921305985768
"S121",13578,11159,11081,10241,10241,10241,10232,0.753571954632494
"S122",14884,12328,12237,11695,11695,11695,11642,0.78218220908358
"S123",21723,18999,18945,18251,18251,18251,18211,0.838328039405239
"S124",27463,25149,25110,24483,24483,24483,24392,0.888176819721079
"S125",13964,12350,12285,11540,11540,11540,11528,0.825551417931825
"S126",10005,8211,8136,7514,7514,7514,7514,0.751024487756122
"S127",14845,9786,9703,9021,9021,9021,9020,0.607611990569215
"S128",11988,5861,5846,5324,5324,5324,5324,0.444110777444111
"S129",20065,17452,17352,16125,16125,16125,16125,0.803638175928233
"S130",10419,8825,8675,7812,7812,7812,7811,0.749688069872349
"S131",21670,17940,17781,16579,16579,16579,16578,0.765020766035994
"S132",24370,20918,20708,19464,19464,19464,19393,0.795773491998359
"S133",17674,15368,15205,14371,14371,14371,14326,0.810569197691524
"S134",51535,47051,46931,45395,45395,45395,45313,0.879266517900456
"S135",77207,72577,72492,70822,70822,70822,70367,0.911406996774904
"S136",37396,34284,34095,32812,32812,32812,32772,0.87635041180875
"S137",15677,11498,11439,10393,10393,10393,10393,0.662945716654972
"S138",20561,12383,12257,11282,11282,11282,11280,0.548611448859491
"S139",31378,13146,12993,11743,11743,11743,11743,0.37424310026133
"S140",139458,109155,108582,104562,104562,104562,104562,0.749774125543174
"S141",27946,22143,21884,19972,19972,19972,19971,0.714628211550848
"S142",48550,36934,36565,34469,34469,34469,34462,0.709824922760041
"S143",34301,26604,26346,24436,24436,24436,24417,0.711845135710329
"S144",1999,1360,1359,1165,1165,1165,1165,0.582791395697849
"S145",3107,1877,1876,1564,1564,1564,1564,0.503379465722562
"S146",2098,1168,1160,967,967,967,967,0.46091515729266
"S147",3589,2017,2016,1664,1664,1664,1664,0.463638896628587
"S148",3031,1860,1841,1548,1548,1548,1548,0.510722533817222
"S149",3239,1946,1945,1568,1568,1568,1568,0.484100030873726
"S150",7035,4544,4534,3741,3741,3741,3740,0.531627576403696
"S152",129,5,5,5,5,5,5,0.0387596899224806
