"","input","filtered","denoised","merged","tabled","tabled2","nonchim","prop(last/first)"
"S111",16081,16070,16049,15899,15899,15862,15743,0.978981406628941
"S112",34120,34087,34030,33297,33297,33284,33235,0.974062133645955
"S113",38442,38405,38363,37558,37558,37544,37252,0.969044274491442
"S114",34379,34331,34252,33581,33581,33563,33500,0.974432066086855
"S115",49688,49646,49504,48191,48191,48100,48031,0.966651907905329
"S116",36367,36329,36202,35618,35618,35559,35491,0.975912228118899
"S117",36771,36744,36704,36161,36161,35849,35735,0.971825623453265
"S118",40214,40172,40099,39116,39116,39090,39034,0.970656985129557
"S119",58436,58402,58325,56514,56514,56503,56430,0.965671846122253
"S120",29912,29886,29777,29117,29117,29005,28984,0.968975661941696
"S121",20556,20542,20465,19996,19996,19901,19832,0.964779139910488
"S122",24454,24444,24400,24138,24138,24084,24023,0.982375071562934
"S123",19071,19049,19022,18699,18699,18671,18598,0.975197944523098
"S124",22839,22821,22788,22210,22210,22159,22076,0.966592232584614
"S125",23362,23346,23314,22717,22717,22706,22617,0.968110606968581
"S126",33555,33531,33430,32451,32451,32385,32337,0.963701385784533
"S127",32389,32360,32297,31851,31851,31805,31774,0.981012071999753
"S128",15229,15197,15180,14971,14971,14837,14762,0.969334821721715
"S129",50888,50840,50771,49852,49852,49836,49699,0.976634963056123
"S130",38773,38733,38651,37848,37848,37835,37762,0.973925154102081
"S131",61650,61605,61357,59714,59714,59514,59488,0.964931062449311
"S132",39654,39624,39487,39026,39026,38926,38320,0.966359005396681
"S133",65625,65563,65496,64514,64514,64383,64175,0.977904761904762
"S134",75026,74939,74789,72886,72886,72862,72762,0.969823794417935
"S135",45649,45605,45565,44576,44576,44546,44336,0.971237047909045
"S136",21563,21542,21513,21236,21236,21233,21121,0.979501924593053
"S137",86457,86388,86173,84084,84084,83981,83879,0.970181708826353
"S138",42016,41901,41787,41076,41076,40993,40944,0.974485910129474
"S139",67241,67156,67071,66280,66280,66222,65874,0.979670141729005
"S140",88173,88105,87883,85966,85966,85942,85762,0.972656028489447
"S141",112560,112490,112335,108327,108327,108307,108001,0.959497157071784
"S142",84080,84031,83712,81712,81712,81449,81407,0.968208848715509
"S143",50336,50296,50018,48932,48932,48551,48403,0.961598061029879
"S144",62445,62408,62373,61329,61329,61329,61038,0.977468171991352
"S145",133313,133233,133176,129734,129734,129734,129177,0.968975268728481
"S146",59215,59151,59130,58077,58077,58077,57856,0.977049734020096
"S147",163072,162965,162875,158401,158401,158400,157751,0.967370241365777
"S148",133644,133568,133529,130055,130055,130055,129533,0.969239172727545
"S149",127367,127302,127252,123760,123760,123760,123225,0.967479802460606
"S150",145374,145300,145243,141215,141215,141207,140619,0.96729126253663
"S151",13056,13036,13032,12616,12616,12616,12616,0.966299019607843
"S152",4450,4441,4440,4382,4382,4382,4376,0.983370786516854
