"","input","filtered","denoised","merged","tabled","tabled2","nonchim","prop(last/first)"
"S001",35628,33768,33483,32324,32324,32267,32059,0.899825979566633
"S002",22789,21550,21386,20773,20773,20630,20393,0.894861556013866
"S003",28006,26171,26033,25334,25334,25201,25028,0.893665643076484
"S004",26326,22964,22868,22354,22354,22293,22113,0.839968092380156
"S005",24325,22906,22791,22256,22256,22246,22118,0.909270298047276
"S006",14398,13644,13535,13061,13061,13053,12904,0.896235588276149
"S007",23717,21984,21895,21384,21384,21367,21158,0.892102711135472
"S008",16661,14980,14936,14462,14462,14454,13980,0.839085288998259
"S009",27726,26172,26084,25548,25548,25530,24987,0.901211858904999
"S010",20711,19230,19106,18584,18584,18542,18180,0.877794408768287
"S011",34239,32115,31801,30648,30648,30616,30375,0.887146236747569
"S012",25702,22364,22260,21519,21519,21349,20445,0.795463388063186
"S013",25723,23064,22985,22139,22139,22054,21679,0.842786611203981
"S014",42632,40652,40317,38955,38955,38936,38675,0.907182398198536
"S015",28776,26415,26128,25195,25195,24809,24614,0.855365582429803
"S016",27240,25543,25382,24553,24553,24467,24275,0.891152716593245
"S017",37039,34361,34082,32983,32983,32938,32717,0.883312184454224
"S018",22292,20713,20463,19703,19703,19691,19496,0.874573838148215
"S019",21427,19946,19722,18939,18939,18930,18778,0.876370933868484
"S020",27977,25082,24866,24120,24120,24113,23957,0.856310540801373
"S021",24852,22220,22123,21399,21399,21380,20772,0.835828102366007
"S022",21342,20032,19985,19649,19649,19646,19135,0.896588885765158
"S023",18437,15881,15807,15456,15456,15422,15074,0.817595053425178
"S024",26896,24916,24771,24020,24020,24018,23868,0.887418203450327
"S025",16830,14842,14758,14277,14277,13129,12337,0.733036244800951
"S026",13469,12492,12341,11776,11776,11747,11601,0.861311158957606
"S027",23391,21739,21467,20558,20558,20532,20360,0.870420247103587
"S028",17877,15949,15722,14843,14843,14828,14779,0.826704704368742
"S029",1945,1784,1761,1683,1683,1681,1664,0.855526992287918
"S030",23249,22212,22117,21692,21692,21666,21534,0.92623338638221
"S031",16445,15178,15081,14582,14582,14573,14463,0.879477044694436
"S032",21987,20729,20630,20126,20126,20118,19960,0.907809159958157
"S033",27377,24564,24410,23482,23482,23475,22793,0.832560178251817
"S034",23549,22160,22095,21672,21672,21671,21116,0.896683510977112
"S035",25769,23402,23305,22767,22767,22738,22145,0.859365904769296
"S036",33669,28745,28609,27760,27760,27757,27581,0.81918084885206
"S037",23513,20598,20435,19568,19568,19294,18593,0.790754050950538
"S038",26197,22756,22644,21863,21863,21539,21135,0.806771767759667
"S039",36414,33268,33024,31774,31774,31743,31588,0.867468556049871
