"","Group.1","x","prop"
"1","field_nc",1794.33333333333,0.0358042862064378
"2","pcr_nc",1658.5,0.0330938558462068
"3","sample",50115.0427350427,1
"4","std_nc",1989.4375,0.0396974120229353
